prompt,total,layer,head,query_position,source_position,qk_score,attention_weight,source_ov_logit_projection,head_result_norm,query_norm,key_norm,status
calc: 1+2=,3,15,1,7,6,4.03125,0.404541015625,0.17876935005187988,4.252946853637695,17.806472778320312,24.28491973876953,ok
calc: 1+2=,3,15,1,7,0,3.27734375,0.1903076171875,-0.004846122115850449,4.252946853637695,17.806472778320312,8.964386940002441,ok
calc: 1+2=,3,15,1,7,5,3.130859375,0.1644287109375,0.025760862976312637,4.252946853637695,17.806472778320312,21.595293045043945,ok
calc: 1+2=,3,15,1,7,4,2.640625,0.1007080078125,0.007142301648855209,4.252946853637695,17.806472778320312,20.062244415283203,ok
calc: 1+2=,3,18,5,7,4,3.18359375,0.366455078125,0.041343651711940765,4.545034408569336,15.900737762451172,19.329322814941406,ok
calc: 1+2=,3,18,5,7,6,3.017578125,0.310302734375,0.0039965808391571045,4.545034408569336,15.900737762451172,20.737520217895508,ok
calc: 1+2=,3,18,5,7,0,2.62890625,0.21044921875,-0.0008195068221539259,4.545034408569336,15.900737762451172,7.607900619506836,ok
calc: 1+2=,3,18,5,7,5,1.4248046875,0.0631103515625,0.010815668851137161,4.545034408569336,15.900737762451172,19.599838256835938,ok
calc: 1+2=,3,14,2,7,7,4.51953125,0.35498046875,-0.01908104121685028,3.97363543510437,14.513470649719238,17.922008514404297,ok
calc: 1+2=,3,14,2,7,0,4.359375,0.30224609375,-0.005180960521101952,3.97363543510437,14.513470649719238,12.869162559509277,ok
calc: 1+2=,3,14,2,7,6,3.8046875,0.173583984375,-0.0027545876801013947,3.97363543510437,14.513470649719238,19.501462936401367,ok
calc: 1+2=,3,14,2,7,5,3.44140625,0.1207275390625,-0.010476674884557724,3.97363543510437,14.513470649719238,18.54985809326172,ok
calc: 1+2=,3,16,4,7,7,4.859375,0.411376953125,0.003295188769698143,3.4337525367736816,14.891029357910156,18.910520553588867,ok
calc: 1+2=,3,16,4,7,0,4.2890625,0.2325439453125,0.0021872608922421932,3.4337525367736816,14.891029357910156,11.734631538391113,ok
calc: 1+2=,3,16,4,7,5,4.0234375,0.17822265625,-0.00333513249643147,3.4337525367736816,14.891029357910156,19.866003036499023,ok
calc: 1+2=,3,16,4,7,6,3.58203125,0.1146240234375,-0.00949821062386036,3.4337525367736816,14.891029357910156,20.598894119262695,ok
calc: 2+3=,5,15,1,7,6,4.16015625,0.451904296875,0.055816590785980225,4.312128067016602,17.779354095458984,23.721637725830078,ok
calc: 2+3=,5,15,1,7,0,3.23828125,0.1798095703125,0.0006136194569990039,4.312128067016602,17.779354095458984,8.964386940002441,ok
calc: 2+3=,5,15,1,7,5,2.78125,0.11383056640625,0.0047289058566093445,4.312128067016602,17.779354095458984,21.638277053833008,ok
calc: 2+3=,5,15,1,7,4,2.681640625,0.10302734375,0.023084299638867378,4.312128067016602,17.779354095458984,19.71176528930664,ok
calc: 2+3=,5,18,5,7,4,2.865234375,0.348388671875,-0.028036657720804214,4.054724216461182,15.638349533081055,19.21248435974121,ok
calc: 2+3=,5,18,5,7,0,2.673828125,0.28759765625,-0.000691415392793715,4.054724216461182,15.638349533081055,7.607900619506836,ok
calc: 2+3=,5,18,5,7,6,2.60546875,0.2685546875,-0.04105379432439804,4.054724216461182,15.638349533081055,19.409137725830078,ok
calc: 2+3=,5,18,5,7,5,0.72998046875,0.041168212890625,-0.005611540749669075,4.054724216461182,15.638349533081055,19.224533081054688,ok
calc: 2+3=,5,14,2,7,0,4.08203125,0.348388671875,-0.028877314180135727,3.6543173789978027,14.087818145751953,12.869162559509277,ok
calc: 2+3=,5,14,2,7,7,4.0234375,0.32861328125,0.020196299999952316,3.6543173789978027,14.087818145751953,17.79191017150879,ok
calc: 2+3=,5,14,2,7,5,3.119140625,0.133056640625,0.014070428907871246,3.6543173789978027,14.087818145751953,18.174522399902344,ok
calc: 2+3=,5,14,2,7,6,3.076171875,0.12744140625,-0.009687747806310654,3.6543173789978027,14.087818145751953,19.311721801757812,ok
calc: 2+3=,5,16,4,7,7,4.453125,0.322998046875,-0.004005158320069313,3.39386248588562,14.172652244567871,18.817176818847656,ok
calc: 2+3=,5,16,4,7,0,4.07421875,0.22119140625,-0.005285299848765135,3.39386248588562,14.172652244567871,11.734631538391113,ok
calc: 2+3=,5,16,4,7,6,3.939453125,0.1932373046875,0.03137892484664917,3.39386248588562,14.172652244567871,20.84950828552246,ok
calc: 2+3=,5,16,4,7,5,3.927734375,0.1910400390625,0.0022609690204262733,3.39386248588562,14.172652244567871,19.834184646606445,ok
calc: 3+1=,4,15,1,7,6,3.875,0.371826171875,-0.07194767147302628,4.007987022399902,18.437583923339844,25.28685188293457,ok
calc: 3+1=,4,15,1,7,0,3.26171875,0.201416015625,0.005665473639965057,4.007987022399902,18.437583923339844,8.964386940002441,ok
calc: 3+1=,4,15,1,7,5,2.841796875,0.13232421875,0.010907962918281555,4.007987022399902,18.437583923339844,22.018203735351562,ok
calc: 3+1=,4,15,1,7,4,2.806640625,0.1278076171875,0.04064841940999031,4.007987022399902,18.437583923339844,19.93057632446289,ok
calc: 3+1=,4,18,5,7,4,3.4921875,0.50244140625,-0.11351358890533447,4.433834552764893,16.16388702392578,19.145414352416992,ok
calc: 3+1=,4,18,5,7,0,2.73046875,0.234619140625,0.0027448914479464293,4.433834552764893,16.16388702392578,7.607900619506836,ok
calc: 3+1=,4,18,5,7,6,2.392578125,0.1673583984375,-0.00738130696117878,4.433834552764893,16.16388702392578,19.692068099975586,ok
calc: 3+1=,4,18,5,7,5,1.09375,0.045654296875,0.0031487876549363136,4.433834552764893,16.16388702392578,19.400596618652344,ok
calc: 3+1=,4,14,2,7,0,4.2265625,0.3408203125,-0.03134170174598694,3.7007761001586914,14.468390464782715,12.869162559509277,ok
calc: 3+1=,4,14,2,7,7,4.17578125,0.323974609375,0.013297135010361671,3.7007761001586914,14.468390464782715,18.347692489624023,ok
calc: 3+1=,4,14,2,7,5,3.44921875,0.15673828125,-0.008311005309224129,3.7007761001586914,14.468390464782715,18.32533836364746,ok
calc: 3+1=,4,14,2,7,6,3.10546875,0.11114501953125,-0.002353362273424864,3.7007761001586914,14.468390464782715,19.54726219177246,ok
calc: 3+1=,4,16,4,7,7,4.51953125,0.305419921875,0.012591762468218803,3.1605300903320312,14.819019317626953,18.896677017211914,ok
calc: 3+1=,4,16,4,7,0,4.36328125,0.26123046875,0.008525416254997253,3.1605300903320312,14.819019317626953,11.734631538391113,ok
calc: 3+1=,4,16,4,7,5,4.1171875,0.204345703125,-0.017506644129753113,3.1605300903320312,14.819019317626953,20.1405086517334,ok
calc: 3+1=,4,16,4,7,6,3.728515625,0.1385498046875,-0.005412610247731209,3.1605300903320312,14.819019317626953,22.207801818847656,ok
calc: 4+2=,6,15,1,7,6,3.994140625,0.42578125,0.044203758239746094,4.135397434234619,18.20859718322754,24.68021583557129,ok
