family,example,source_kind,layer,target_margin,source_margin,patched_margin,patch_effect,normalized_rescue
addition,0,same_computation,0,2.53125,3.140625,3.3125,0.78125,1.2820491781757075
addition,0,same_computation,10,2.53125,3.140625,3.921875,1.390625,2.2820475371527595
addition,0,same_computation,21,2.53125,3.140625,4.046875,1.515625,2.4871754056608726
addition,0,same_computation,31,2.53125,3.140625,4.3828125,1.8515625,3.038456552276427
addition,0,same_computation,41,2.53125,3.140625,3.140625,0.609375,0.9999983589770519
addition,0,surface_wrong,0,2.53125,4.984375,2.984375,0.453125,0.18471330049903673
addition,0,surface_wrong,10,2.53125,4.984375,3.1953125,0.6640625,0.27070052659341587
addition,0,surface_wrong,21,2.53125,4.984375,1.859375,-0.671875,-0.2738852386709855
addition,0,surface_wrong,31,2.53125,4.984375,-3.6875,-6.21875,-2.5350308137454007
addition,0,surface_wrong,41,2.53125,4.984375,-4.0390625,-6.5703125,-2.6783428572360326
addition,0,unrelated,0,2.53125,3.9296875,2.53125,0.0,0.0
addition,0,unrelated,10,2.53125,3.9296875,0.9609375,-1.5703125,-1.122904224962342
addition,0,unrelated,21,2.53125,3.9296875,-1.796875,-4.328125,-3.094969853876306
addition,0,unrelated,31,2.53125,3.9296875,-4.09375,-6.625,-4.737426779940627
addition,0,unrelated,41,2.53125,3.9296875,-4.671875,-7.203125,-5.150834305548654
addition,1,same_computation,0,5.234375,5.296875,6.3828125,1.1484375,18.374706004703924
addition,1,same_computation,10,5.234375,5.296875,6.1171875,0.8828125,14.124774003615942
addition,1,same_computation,21,5.234375,5.296875,6.1875,0.953125,15.249756003903938
addition,1,same_computation,31,5.234375,5.296875,6.1015625,0.8671875,13.874778003551944
addition,1,same_computation,41,5.234375,5.296875,5.296875,0.0625,0.9999840002559959
addition,1,surface_wrong,0,5.234375,5.4921875,6.40625,1.171875,4.5454369146689375
addition,1,surface_wrong,10,5.234375,5.4921875,5.5234375,0.2890625,1.1212077722850047
addition,1,surface_wrong,21,5.234375,5.4921875,5.7421875,0.5078125,1.969689329689873
addition,1,surface_wrong,31,5.234375,5.4921875,6.515625,1.28125,4.969677693371372
addition,1,surface_wrong,41,5.234375,5.4921875,5.4921875,0.2578125,0.9999961212271663
addition,1,unrelated,0,5.234375,8.59375,5.25,0.015625,0.0046511614061659065
addition,1,unrelated,10,5.234375,8.59375,4.7890625,-0.4453125,-0.13255810007572835
addition,1,unrelated,21,5.234375,8.59375,6.2109375,0.9765625,0.2906975878853692
addition,1,unrelated,31,5.234375,8.59375,8.16796875,2.93359375,0.873255554007649
addition,1,unrelated,41,5.234375,8.59375,8.59375,3.359375,0.9999997023256699
addition,2,same_computation,0,4.09765625,5.234375,5.0078125,0.91015625,0.8006865808392967
addition,2,same_computation,10,4.09765625,5.234375,5.1640625,1.06640625,0.9381435045885321
addition,2,same_computation,21,4.09765625,5.234375,6.640625,2.54296875,2.237111434018807
addition,2,same_computation,31,4.09765625,5.234375,6.4765625,2.37890625,2.09278166408211
addition,2,same_computation,41,4.09765625,5.234375,5.234375,1.13671875,0.999999120275688
addition,2,surface_wrong,0,4.09765625,5.7734375,4.8671875,0.76953125,0.4592071851817264
addition,2,surface_wrong,10,4.09765625,5.7734375,4.9765625,0.87890625,0.5244752115019717
addition,2,surface_wrong,21,4.09765625,5.7734375,3.1796875,-0.91796875,-0.5477852209020594
addition,2,surface_wrong,31,4.09765625,5.7734375,1.078125,-3.01953125,-1.8018637266267739
addition,2,surface_wrong,41,4.09765625,5.7734375,0.09375,-4.00390625,-2.3892759635089824
addition,2,unrelated,0,4.09765625,3.63671875,4.0703125,-0.02734375,-0.05932190519993449
