family,example,source_kind,layer,target_margin,source_margin,patched_margin,patch_effect,normalized_rescue
addition,0,same_computation,0,2.03125,3.140625,1.0,-1.03125,-0.9295766268605055
addition,0,same_computation,9,2.03125,3.140625,8.953125,6.921875,6.239430995442484
addition,0,same_computation,18,2.03125,3.140625,3.75,1.71875,1.5492943781008424
addition,0,same_computation,27,2.03125,3.140625,3.21875,1.1875,1.0704215703242184
addition,0,same_computation,35,2.03125,3.140625,3.140625,1.109375,0.9999990985923619
addition,0,surface_wrong,0,2.03125,5.0,0.859375,-1.171875,-0.39473670914131903
addition,0,surface_wrong,9,2.03125,5.0,5.96875,3.9375,1.3263153427148318
addition,0,surface_wrong,18,2.03125,5.0,4.671875,2.640625,0.8894733845984388
addition,0,surface_wrong,27,2.03125,5.0,-6.046875,-8.078125,-2.721051715014159
addition,0,surface_wrong,35,2.03125,5.0,-5.640625,-7.671875,-2.5842096558451684
addition,0,unrelated,0,2.03125,1.25,1.96875,-0.0625,-0.07999989760013107
addition,0,unrelated,9,2.03125,1.25,0.96875,-1.0625,-1.3599982592022282
addition,0,unrelated,18,2.03125,1.25,0.921875,-1.109375,-1.4199981824023264
addition,0,unrelated,27,2.03125,1.25,-1.03125,-3.0625,-3.9199949824064224
addition,0,unrelated,35,2.03125,1.25,-1.84375,-3.875,-4.959993651208126
addition,1,same_computation,0,6.71875,5.984375,9.84375,3.125,4.255313354466922
addition,1,same_computation,9,6.71875,5.984375,9.59375,2.875,3.9148882861095675
addition,1,same_computation,18,6.71875,5.984375,8.78125,2.0625,2.808506813948168
addition,1,same_computation,27,6.71875,5.984375,7.65625,0.9375,1.2765940063400765
addition,1,same_computation,35,6.71875,5.984375,5.984375,-0.734375,-0.9999986382997266
addition,1,surface_wrong,0,6.71875,6.734375,9.8828125,3.1640625,202.4870408293869
addition,1,surface_wrong,9,6.71875,6.734375,10.28125,3.5625,227.9854089338282
addition,1,surface_wrong,18,6.71875,6.734375,11.78125,5.0625,323.97926532701905
addition,1,surface_wrong,27,6.71875,6.734375,8.828125,2.109375,134.99136055292462
addition,1,surface_wrong,35,6.71875,6.734375,6.734375,0.015625,0.9999360040957378
addition,1,unrelated,0,6.71875,6.28125,6.4296875,-0.2890625,-0.660712775513656
addition,1,unrelated,9,6.71875,6.28125,5.3671875,-1.3515625,-3.0892786530773644
addition,1,unrelated,18,6.71875,6.28125,5.75,-0.96875,-2.214280653072793
addition,1,unrelated,27,6.71875,6.28125,5.5625,-1.15625,-2.642851102054624
addition,1,unrelated,35,6.71875,6.28125,6.28125,-0.4375,-0.9999977142909389
addition,2,same_computation,0,5.875,5.75,6.90625,1.03125,8.249934000527995
addition,2,same_computation,9,5.875,5.75,6.9609375,1.0859375,8.687430500555996
addition,2,same_computation,18,5.875,5.75,4.828125,-1.046875,-8.374933000535995
addition,2,same_computation,27,5.875,5.75,7.84375,1.96875,15.749874001007992
addition,2,same_computation,35,5.875,5.75,5.75,-0.125,-0.9999920000639995
addition,2,surface_wrong,0,5.875,8.125,6.9375,1.0625,0.47222201234577227
addition,2,surface_wrong,9,5.875,8.125,6.8671875,0.9921875,0.440972026234655
addition,2,surface_wrong,18,5.875,8.125,6.046875,0.171875,0.07638885493828669
addition,2,surface_wrong,27,5.875,8.125,3.875,-2.0,-0.888888493827336
addition,2,surface_wrong,35,5.875,8.125,2.296875,-3.578125,-1.5902770709879683
addition,2,unrelated,0,5.875,1.953125,5.6015625,-0.2734375,-0.06972109776035754
addition,2,unrelated,9,5.875,1.953125,4.3203125,-1.5546875,-0.39641424155174715
addition,2,unrelated,18,5.875,1.953125,4.6171875,-1.2578125,-0.3207170496976447
addition,2,unrelated,27,5.875,1.953125,4.1328125,-1.7421875,-0.44422299430170664
addition,2,unrelated,35,5.875,1.953125,3.515625,-2.359375,-0.6015934721036565
addition,3,same_computation,0,5.796875,6.046875,6.578125,0.78125,3.12498750005
addition,3,same_computation,9,5.796875,6.046875,6.8203125,1.0234375,4.0937336250655
addition,3,same_computation,18,5.796875,6.046875,6.59375,0.796875,3.1874872500510003
addition,3,same_computation,27,5.796875,6.046875,7.5,1.703125,6.812472750109
addition,3,same_computation,35,5.796875,6.046875,6.046875,0.25,0.9999960000160001
addition,3,surface_wrong,0,5.796875,8.21875,6.7109375,0.9140625,0.37741919900110493
addition,3,surface_wrong,9,5.796875,8.21875,7.34375,1.546875,0.6387094136941776
addition,3,surface_wrong,18,5.796875,8.21875,7.015625,1.21875,0.5032255986681399
addition,3,surface_wrong,27,5.796875,8.21875,2.828125,-2.96875,-1.225805945473674
addition,3,surface_wrong,35,5.796875,8.21875,1.921875,-3.875,-1.5999993393551113
addition,3,unrelated,0,5.796875,1.296875,5.5078125,-0.2890625,-0.06423609683642292
addition,3,unrelated,9,5.796875,1.296875,3.671875,-2.125,-0.4722221172839739
addition,3,unrelated,18,5.796875,1.296875,4.25,-1.546875,-0.34374992361112805
addition,3,unrelated,27,5.796875,1.296875,3.5234375,-2.2734375,-0.5052082210648398
addition,3,unrelated,35,5.796875,1.296875,3.046875,-2.75,-0.6111109753086721
addition,4,same_computation,0,4.3359375,5.78125,6.4375,2.1015625,1.45405304800654
addition,4,same_computation,9,4.3359375,5.78125,6.296875,1.9609375,1.3567558180284072
addition,4,same_computation,18,4.3359375,5.78125,5.203125,0.8671875,0.5999995848651521
addition,4,same_computation,27,4.3359375,5.78125,6.8125,2.4765625,1.7135123279482272
addition,4,same_computation,35,4.3359375,5.78125,5.78125,1.4453125,0.9999993081085868
addition,4,surface_wrong,0,4.3359375,8.53125,6.578125,2.2421875,0.5344505243767838
addition,4,surface_wrong,9,4.3359375,8.53125,6.34375,2.0078125,0.47858461590534296
addition,4,surface_wrong,18,4.3359375,8.53125,7.8125,3.4765625,0.828677642326372
addition,4,surface_wrong,27,4.3359375,8.53125,4.265625,-0.0703125,-0.016759772541432242
addition,4,surface_wrong,35,4.3359375,8.53125,2.453125,-1.8828125,-0.4487894647205745
addition,4,unrelated,0,4.3359375,3.4375,3.9453125,-0.390625,-0.4347821247642437
addition,4,unrelated,9,4.3359375,3.4375,2.2734375,-2.0625,-2.2956496187552067
addition,4,unrelated,18,4.3359375,3.4375,3.7734375,-0.5625,-0.626086259660511
addition,4,unrelated,27,4.3359375,3.4375,3.8203125,-0.515625,-0.5739124046888017
addition,4,unrelated,35,4.3359375,3.4375,2.234375,-2.1015625,-2.339127831231631
addition,5,same_computation,0,3.46875,6.90625,3.75,0.28125,0.08181815801653584
addition,5,same_computation,9,3.46875,6.90625,4.8359375,1.3671875,0.397727157024827
addition,5,same_computation,18,3.46875,6.90625,5.21875,1.75,0.5090907609917786
addition,5,same_computation,27,3.46875,6.90625,7.984375,4.515625,1.3136359814877143
addition,5,same_computation,35,3.46875,6.90625,6.90625,3.4375,0.9999997090909937
addition,5,surface_wrong,0,3.46875,6.5,3.7890625,0.3203125,0.1056700682325548
addition,5,surface_wrong,9,3.46875,6.5,4.4765625,1.0078125,0.33247411712194075
addition,5,surface_wrong,18,3.46875,6.5,5.046875,1.578125,0.5206183849506358
addition,5,surface_wrong,27,3.46875,6.5,1.359375,-2.109375,-0.6958760590924341
addition,5,surface_wrong,35,3.46875,6.5,0.53125,-2.9375,-0.969071845254649
addition,5,unrelated,0,3.46875,3.15625,3.296875,-0.171875,-0.549998240005632
addition,5,unrelated,9,3.46875,3.15625,2.6328125,-0.8359375,-2.674991440027392
addition,5,unrelated,18,3.46875,3.15625,3.390625,-0.078125,-0.24999920000256
addition,5,unrelated,27,3.46875,3.15625,3.21875,-0.25,-0.7999974400081921
addition,5,unrelated,35,3.46875,3.15625,2.296875,-1.171875,-3.7499880000384
subtraction,0,same_computation,0,4.78125,6.125,5.9140625,1.1328125,0.8430226284482766
subtraction,0,same_computation,9,4.78125,6.125,7.9453125,3.1640625,2.354649410493462
subtraction,0,same_computation,18,4.78125,6.125,8.515625,3.734375,2.7790676992984564
subtraction,0,same_computation,27,4.78125,6.125,7.640625,2.859375,2.1279053931866843
subtraction,0,same_computation,35,4.78125,6.125,6.125,1.34375,0.9999992558145073
subtraction,0,surface_wrong,0,4.78125,5.703125,6.2109375,1.4296875,1.5508457753537352
subtraction,0,surface_wrong,9,4.78125,5.703125,4.828125,0.046875,0.05084740247061427
subtraction,0,surface_wrong,18,4.78125,5.703125,8.171875,3.390625,3.6779621120410986
subtraction,0,surface_wrong,27,4.78125,5.703125,3.546875,-1.234375,-1.3389815983928424
subtraction,0,surface_wrong,35,4.78125,5.703125,2.90625,-1.875,-2.0338960988245707
subtraction,0,unrelated,0,4.78125,3.03125,4.703125,-0.078125,-0.04464283163266764
subtraction,0,unrelated,9,4.78125,3.03125,3.46875,-1.3125,-0.7499995714288163
subtraction,0,unrelated,18,4.78125,3.03125,2.515625,-2.265625,-1.2946421173473617
subtraction,0,unrelated,27,4.78125,3.03125,2.6328125,-2.1484375,-1.2276778698983601
subtraction,0,unrelated,35,4.78125,3.03125,2.34375,-2.4375,-1.3928563469392303
subtraction,1,same_computation,0,3.53125,7.9375,3.5234375,-0.0078125,-0.0017730492429959164
subtraction,1,same_computation,9,3.53125,7.9375,7.7578125,4.2265625,0.9592196404607908
subtraction,1,same_computation,18,3.53125,7.9375,7.09375,3.5625,0.8085104548061379
subtraction,1,same_computation,27,3.53125,7.9375,8.578125,5.046875,1.145389810975362
subtraction,1,same_computation,35,3.53125,7.9375,7.9375,4.40625,0.9999997730496969
subtraction,1,surface_wrong,0,3.53125,6.453125,3.7890625,0.2578125,0.08823526391948186
subtraction,1,surface_wrong,9,3.53125,6.453125,2.3671875,-1.1640625,-0.39839558557584237
subtraction,1,surface_wrong,18,3.53125,6.453125,5.34375,1.8125,0.620320643312721
subtraction,1,surface_wrong,27,3.53125,6.453125,2.046875,-1.484375,-0.5080212165061077
subtraction,1,surface_wrong,35,3.53125,6.453125,1.265625,-2.265625,-0.7754008041409012
subtraction,1,unrelated,0,3.53125,3.8828125,3.5859375,0.0546875,0.15555511308767833
subtraction,1,unrelated,9,3.53125,3.8828125,3.140625,-0.390625,-1.1111079506262738
subtraction,1,unrelated,18,3.53125,3.8828125,2.75,-0.78125,-2.2222159012525475
subtraction,1,unrelated,27,3.53125,3.8828125,2.3515625,-1.1796875,-3.355546010891347
subtraction,1,unrelated,35,3.53125,3.8828125,2.2578125,-1.2734375,-3.6222119190416526
subtraction,2,same_computation,0,1.046875,7.0,1.921875,0.875,0.1469816026067649
subtraction,2,same_computation,9,1.046875,7.0,5.625,4.578125,0.769028742210395
subtraction,2,same_computation,18,1.046875,7.0,6.15625,5.109375,0.8582675723645022
subtraction,2,same_computation,27,1.046875,7.0,7.0,5.953125,0.9999998320210256
subtraction,2,same_computation,35,1.046875,7.0,7.0,5.953125,0.9999998320210256
subtraction,2,surface_wrong,0,1.046875,3.9375,1.9140625,0.8671875,0.2999998962162521
subtraction,2,surface_wrong,9,1.046875,3.9375,3.296875,2.25,0.7783781091016271
subtraction,2,surface_wrong,18,1.046875,3.9375,2.171875,1.125,0.38918905455081354
subtraction,2,surface_wrong,27,1.046875,3.9375,1.359375,0.3125,0.10810807070855932
subtraction,2,surface_wrong,35,1.046875,3.9375,0.734375,-0.3125,-0.10810807070855932
subtraction,2,unrelated,0,1.046875,0.734375,1.0078125,-0.0390625,-0.12499960000128
subtraction,2,unrelated,9,1.046875,0.734375,1.9375,0.890625,2.849990880029184
subtraction,2,unrelated,18,1.046875,0.734375,2.09375,1.046875,3.349989280034304
subtraction,2,unrelated,27,1.046875,0.734375,1.6328125,0.5859375,1.8749940000192
subtraction,2,unrelated,35,1.046875,0.734375,1.484375,0.4375,1.3999955200143361
subtraction,3,same_computation,0,2.3203125,6.921875,2.8046875,0.484375,0.10526313501921683
subtraction,3,same_computation,9,2.3203125,6.921875,2.75,0.4296875,0.0933785875170472
subtraction,3,same_computation,18,2.3203125,6.921875,4.9375,2.6171875,0.5687604876038329
subtraction,3,same_computation,27,2.3203125,6.921875,6.984375,4.6640625,1.0135821226850394
subtraction,3,same_computation,35,2.3203125,6.921875,6.921875,4.6015625,0.99999978268256
subtraction,3,surface_wrong,0,2.3203125,5.28125,2.75,0.4296875,0.14511868449817514
subtraction,3,surface_wrong,9,2.3203125,5.28125,1.7109375,-0.609375,-0.20580467983377568
subtraction,3,surface_wrong,18,2.3203125,5.28125,2.796875,0.4765625,0.16094981371615788
subtraction,3,surface_wrong,27,2.3203125,5.28125,1.71875,-0.6015625,-0.20316615829744522
subtraction,3,surface_wrong,35,2.3203125,5.28125,1.390625,-0.9296875,-0.3139840628233244
subtraction,3,unrelated,0,2.3203125,3.4453125,2.4609375,0.140625,0.12499988888898766
subtraction,3,unrelated,9,2.3203125,3.4453125,3.09375,0.7734375,0.6874993888894322
subtraction,3,unrelated,18,2.3203125,3.4453125,3.125,0.8046875,0.7152771419758739
subtraction,3,unrelated,27,2.3203125,3.4453125,2.8125,0.4921875,0.4374996111114568
subtraction,3,unrelated,35,2.3203125,3.4453125,2.9921875,0.671875,0.5972216913584966
subtraction,4,same_computation,0,1.9296875,7.46875,1.7109375,-0.21875,-0.03949223546543563
subtraction,4,same_computation,9,1.9296875,7.46875,1.8203125,-0.109375,-0.019746117732717814
subtraction,4,same_computation,18,1.9296875,7.46875,6.15625,4.2265625,0.7630464066714526
subtraction,4,same_computation,27,1.9296875,7.46875,7.828125,5.8984375,1.0648799205858535
subtraction,4,same_computation,35,1.9296875,7.46875,7.46875,5.5390625,0.9999998194640665
subtraction,4,surface_wrong,0,1.9296875,5.59375,1.703125,-0.2265625,-0.06183367182364607
subtraction,4,surface_wrong,9,1.9296875,5.59375,1.6484375,-0.28125,-0.07675904088452615
subtraction,4,surface_wrong,18,1.9296875,5.59375,2.265625,0.3359375,0.09168440994540623
subtraction,4,surface_wrong,27,1.9296875,5.59375,1.796875,-0.1328125,-0.03624732486213735
subtraction,4,surface_wrong,35,1.9296875,5.59375,1.171875,-0.7578125,-0.20682297127219545
subtraction,4,unrelated,0,1.9296875,2.96875,2.0390625,0.109375,0.10526305658893803
subtraction,4,unrelated,9,1.9296875,2.96875,2.375,0.4453125,0.42857101611210485
subtraction,4,unrelated,18,1.9296875,2.96875,2.9921875,1.0625,1.0225554068639695
subtraction,4,unrelated,27,1.9296875,2.96875,2.4375,0.5078125,0.48872133416292657
subtraction,4,unrelated,35,1.9296875,2.96875,2.375,0.4453125,0.42857101611210485
subtraction,5,same_computation,0,2.171875,8.046875,3.3046875,1.1328125,0.1928191161158951
subtraction,5,same_computation,9,2.171875,8.046875,4.1171875,1.9453125,0.3311169649162613
subtraction,5,same_computation,18,2.171875,8.046875,7.96875,5.796875,0.9867019597103047
