family,form,example,prompt,graph_id,layer,position,feature,feature_id,source_feature,kind,edge_to_target,mode,current_activation,baseline_margin,changed_margin,damage,status
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,13541,L24_F13541,13541,recurrent,0.4765625,zero,85.0,5.1328125,5.40625,-0.2734375,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,13541,L24_F13541,13541,recurrent,0.4765625,negative_original,85.0,5.1328125,5.734375,-0.6015625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,8622,L24_F8622,13541,random_control,,zero,9.7734375,5.1328125,5.140625,-0.0078125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,8622,L24_F8622,13541,random_control,,negative_original,9.7734375,5.1328125,5.15625,-0.0234375,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,15920,L25_F15920,15920,recurrent,0.413818359375,zero,115.3125,5.1328125,5.3359375,-0.203125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,15920,L25_F15920,15920,recurrent,0.413818359375,negative_original,115.3125,5.1328125,5.5234375,-0.390625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,14059,L25_F14059,15920,random_control,,zero,8.3203125,5.1328125,5.1171875,0.015625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,14059,L25_F14059,15920,random_control,,negative_original,8.3203125,5.1328125,5.125,0.0078125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,23,7,8967,L23_F8967,8967,recurrent,-0.30078125,zero,21.0625,5.1328125,5.0625,0.0703125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,23,7,8967,L23_F8967,8967,recurrent,-0.30078125,negative_original,21.0625,5.1328125,5.0,0.1328125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,23,7,14355,L23_F14355,8967,random_control,,zero,20.71875,5.1328125,5.109375,0.0234375,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,23,7,14355,L23_F14355,8967,random_control,,negative_original,20.71875,5.1328125,5.1015625,0.03125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,14744,L25_F14744,14744,recurrent,0.294921875,zero,55.65625,5.1328125,5.1953125,-0.0625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,14744,L25_F14744,14744,recurrent,0.294921875,negative_original,55.65625,5.1328125,5.2578125,-0.125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,2359,L25_F2359,14744,random_control,,zero,25.203125,5.1328125,5.171875,-0.0390625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,2359,L25_F2359,14744,random_control,,negative_original,25.203125,5.1328125,5.1953125,-0.0625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,4717,L25_F4717,4717,recurrent,0.2210693359375,zero,169.875,5.1328125,5.625,-0.4921875,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,4717,L25_F4717,4717,recurrent,0.2210693359375,negative_original,169.875,5.1328125,6.171875,-1.0390625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,7906,L25_F7906,4717,random_control,,zero,13.0234375,5.1328125,5.140625,-0.0078125,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,25,7,7906,L25_F7906,4717,random_control,,negative_original,13.0234375,5.1328125,5.1484375,-0.015625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,0,7,13004,L0_F13004,13004,recurrent,-0.1832275390625,zero,5.14453125,5.1328125,5.15625,-0.0234375,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,0,7,13004,L0_F13004,13004,recurrent,-0.1832275390625,negative_original,5.14453125,5.1328125,5.1796875,-0.046875,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,0,7,4728,L0_F4728,13004,random_control,,zero,1.1591796875,5.1328125,5.1328125,0.0,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,0,7,4728,L0_F4728,13004,random_control,,negative_original,1.1591796875,5.1328125,5.1328125,0.0,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,5999,L24_F5999,5999,recurrent,-0.175048828125,zero,37.09375,5.1328125,5.15625,-0.0234375,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,5999,L24_F5999,5999,recurrent,-0.175048828125,negative_original,37.09375,5.1328125,5.1953125,-0.0625,ok
addition,explicit,4,calc: 2+2=,addition_explicit_4,24,7,781,L24_F781,5999,random_control,,zero,9.1171875,5.1328125,5.1328125,0.0,ok
