layer,feature,feature_id,graph_count,form_count,forms,families
1,14137,L1_F14137,28,3,"applied,explicit,implicit","addition,multiplication,subtraction"
24,13541,L24_F13541,28,3,"applied,explicit,implicit","addition,multiplication,subtraction"
25,4717,L25_F4717,28,3,"applied,explicit,implicit","addition,multiplication,subtraction"
25,13822,L25_F13822,28,3,"applied,explicit,implicit","addition,multiplication,subtraction"
25,14744,L25_F14744,28,3,"applied,explicit,implicit","addition,multiplication,subtraction"
25,15920,L25_F15920,28,3,"applied,explicit,implicit","addition,multiplication,subtraction"
23,8967,L23_F8967,27,3,"applied,explicit,implicit","addition,multiplication,subtraction"
24,5999,L24_F5999,27,3,"applied,explicit,implicit","addition,multiplication,subtraction"
23,8449,L23_F8449,25,3,"applied,explicit,implicit","addition,multiplication"
0,13004,L0_F13004,20,2,"applied,explicit","addition,multiplication,subtraction"
1,1412,L1_F1412,20,2,"applied,explicit","addition,multiplication,subtraction"
24,5668,L24_F5668,20,3,"applied,explicit,implicit","addition,multiplication,subtraction"
2,11080,L2_F11080,19,2,"applied,explicit","addition,multiplication,subtraction"
25,9443,L25_F9443,19,3,"applied,explicit,implicit","addition,multiplication,subtraction"
25,10325,L25_F10325,19,3,"applied,explicit,implicit","addition,multiplication"
21,11951,L21_F11951,18,2,"applied,implicit","addition,multiplication,subtraction"
23,4940,L23_F4940,18,2,"explicit,implicit","addition,multiplication,subtraction"
24,1260,L24_F1260,18,2,"applied,implicit","addition,multiplication,subtraction"
24,16012,L24_F16012,18,2,"applied,implicit","addition,multiplication,subtraction"
25,11933,L25_F11933,18,2,"explicit,implicit","addition,multiplication,subtraction"
25,8566,L25_F8566,17,2,"applied,implicit","addition,multiplication,subtraction"
18,11589,L18_F11589,16,2,"applied,implicit","addition,subtraction"
22,5015,L22_F5015,16,3,"applied,explicit,implicit","addition,multiplication,subtraction"
23,618,L23_F618,16,3,"applied,explicit,implicit","addition,multiplication,subtraction"
23,13770,L23_F13770,15,2,"applied,implicit","addition,multiplication,subtraction"
4,8364,L4_F8364,14,2,"applied,implicit","addition,subtraction"
21,11846,L21_F11846,14,3,"applied,explicit,implicit","addition,multiplication"
23,5188,L23_F5188,14,2,"applied,explicit","addition,multiplication,subtraction"
20,4413,L20_F4413,13,3,"applied,explicit,implicit","addition,multiplication"
21,9150,L21_F9150,11,3,"applied,explicit,implicit","addition,multiplication"
25,7346,L25_F7346,11,2,"applied,explicit","addition,multiplication,subtraction"
0,1569,L0_F1569,10,1,applied,"addition,multiplication,subtraction"
0,6688,L0_F6688,10,1,applied,"addition,multiplication,subtraction"
0,7898,L0_F7898,10,1,applied,"addition,multiplication,subtraction"
0,9890,L0_F9890,10,2,"explicit,implicit","addition,multiplication"
0,12044,L0_F12044,10,1,applied,"addition,multiplication,subtraction"
2,3014,L2_F3014,10,1,explicit,"addition,multiplication,subtraction"
14,3704,L14_F3704,10,1,explicit,"addition,multiplication,subtraction"
15,4571,L15_F4571,10,1,applied,"addition,multiplication,subtraction"
15,12472,L15_F12472,10,1,applied,"addition,multiplication,subtraction"
18,1896,L18_F1896,10,1,applied,"addition,multiplication,subtraction"
18,12210,L18_F12210,10,1,explicit,"addition,multiplication,subtraction"
20,3094,L20_F3094,10,1,explicit,"addition,multiplication,subtraction"
20,4878,L20_F4878,10,2,"applied,implicit","addition,multiplication,subtraction"
22,3777,L22_F3777,10,1,explicit,"addition,multiplication,subtraction"
22,4751,L22_F4751,10,2,"explicit,implicit","addition,multiplication"
22,10146,L22_F10146,10,1,explicit,"addition,multiplication,subtraction"
23,57,L23_F57,10,2,"applied,explicit","addition,multiplication,subtraction"
23,782,L23_F782,10,1,explicit,"addition,multiplication,subtraction"
23,3403,L23_F3403,10,1,explicit,"addition,multiplication,subtraction"
23,13206,L23_F13206,10,1,explicit,"addition,multiplication,subtraction"
23,14350,L23_F14350,10,1,explicit,"addition,multiplication,subtraction"
23,14355,L23_F14355,10,1,explicit,"addition,multiplication,subtraction"
24,1677,L24_F1677,10,1,explicit,"addition,multiplication,subtraction"
24,4350,L24_F4350,10,1,explicit,"addition,multiplication,subtraction"
24,6187,L24_F6187,10,1,explicit,"addition,multiplication,subtraction"
25,7906,L25_F7906,10,1,explicit,"addition,multiplication,subtraction"
25,9028,L25_F9028,10,1,explicit,"addition,multiplication,subtraction"
0,15499,L0_F15499,9,1,applied,"addition,subtraction"
3,3161,L3_F3161,9,1,applied,"addition,subtraction"
17,2510,L17_F2510,9,1,applied,"addition,subtraction"
21,157,L21_F157,9,1,applied,"addition,subtraction"
22,7801,L22_F7801,9,1,explicit,"addition,multiplication,subtraction"
22,15481,L22_F15481,9,1,explicit,"addition,multiplication"
23,51,L23_F51,9,1,explicit,"addition,multiplication,subtraction"
23,383,L23_F383,9,1,applied,"addition,subtraction"
24,417,L24_F417,9,2,"applied,implicit","addition,multiplication"
24,15269,L24_F15269,9,1,applied,"addition,multiplication"
24,15454,L24_F15454,9,1,applied,"addition,subtraction"
25,3204,L25_F3204,9,1,applied,"addition,subtraction"
25,7426,L25_F7426,9,1,explicit,"addition,multiplication,subtraction"
25,9695,L25_F9695,9,1,applied,"addition,subtraction"
25,10281,L25_F10281,9,2,"applied,implicit","addition,multiplication"
25,11143,L25_F11143,9,2,"applied,implicit","addition,multiplication"
0,2115,L0_F2115,8,1,implicit,addition
0,4196,L0_F4196,8,1,explicit,"addition,multiplication,subtraction"
0,8666,L0_F8666,8,1,implicit,addition
0,9026,L0_F9026,8,1,implicit,addition
0,11835,L0_F11835,8,1,implicit,addition
0,13658,L0_F13658,8,1,implicit,addition
0,14824,L0_F14824,8,1,applied,addition
1,1840,L1_F1840,8,1,applied,addition
2,16120,L2_F16120,8,1,applied,addition
4,666,L4_F666,8,1,implicit,addition
4,4308,L4_F4308,8,1,implicit,addition
5,2267,L5_F2267,8,1,implicit,addition
8,4552,L8_F4552,8,1,applied,addition
14,4609,L14_F4609,8,1,implicit,addition
14,5299,L14_F5299,8,1,implicit,addition
14,14163,L14_F14163,8,2,"applied,implicit",addition
16,10564,L16_F10564,8,1,implicit,addition
16,12667,L16_F12667,8,1,applied,"addition,subtraction"
16,13745,L16_F13745,8,1,applied,addition
17,11979,L17_F11979,8,2,"applied,implicit","addition,multiplication"
18,7883,L18_F7883,8,1,implicit,addition
18,9924,L18_F9924,8,1,applied,addition
18,15667,L18_F15667,8,1,applied,addition
19,4186,L19_F4186,8,2,"applied,explicit","addition,multiplication"
19,9304,L19_F9304,8,1,applied,addition
21,447,L21_F447,8,1,implicit,addition
21,11473,L21_F11473,8,1,implicit,addition
21,15253,L21_F15253,8,1,implicit,addition
22,1234,L22_F1234,8,1,explicit,"addition,multiplication,subtraction"
22,2594,L22_F2594,8,1,applied,"addition,multiplication,subtraction"
22,3427,L22_F3427,8,1,applied,addition
22,3492,L22_F3492,8,1,implicit,addition
22,3655,L22_F3655,8,1,implicit,addition
23,22,L23_F22,8,1,implicit,addition
23,10882,L23_F10882,8,1,implicit,addition
23,13382,L23_F13382,8,1,applied,addition
24,4570,L24_F4570,8,1,implicit,addition
24,8114,L24_F8114,8,1,explicit,"addition,multiplication,subtraction"
24,9499,L24_F9499,8,1,explicit,"addition,multiplication"
24,12597,L24_F12597,8,1,implicit,addition
24,16129,L24_F16129,8,1,implicit,addition
25,809,L25_F809,8,1,implicit,addition
25,2438,L25_F2438,8,1,implicit,addition
25,8117,L25_F8117,8,1,implicit,addition
25,10880,L25_F10880,8,1,implicit,addition
25,13185,L25_F13185,8,1,implicit,addition
0,8125,L0_F8125,7,1,applied,addition
0,9695,L0_F9695,7,1,implicit,addition
0,16171,L0_F16171,7,1,applied,"addition,multiplication"
3,13120,L3_F13120,7,1,implicit,addition
7,755,L7_F755,7,1,applied,addition
11,9318,L11_F9318,7,1,applied,addition
15,12499,L15_F12499,7,1,applied,"addition,subtraction"
19,5872,L19_F5872,7,1,applied,"addition,multiplication,subtraction"
20,5484,L20_F5484,7,1,explicit,"addition,multiplication"
21,11435,L21_F11435,7,1,explicit,"addition,multiplication"
21,13968,L21_F13968,7,1,explicit,"addition,subtraction"
21,14740,L21_F14740,7,1,explicit,"addition,subtraction"
23,12703,L23_F12703,7,1,applied,"addition,multiplication"
24,3171,L24_F3171,7,1,explicit,"addition,multiplication,subtraction"
24,7270,L24_F7270,7,1,applied,"addition,subtraction"
25,7186,L25_F7186,7,1,applied,addition
25,11569,L25_F11569,7,1,explicit,addition
0,15740,L0_F15740,6,1,applied,addition
1,8764,L1_F8764,6,1,implicit,addition
3,7029,L3_F7029,6,1,implicit,addition
5,898,L5_F898,6,1,implicit,addition
17,3093,L17_F3093,6,1,applied,"addition,multiplication"
18,5944,L18_F5944,6,1,explicit,"addition,multiplication"
19,8959,L19_F8959,6,1,applied,addition
20,10358,L20_F10358,6,1,explicit,"addition,multiplication"
22,13111,L22_F13111,6,1,explicit,"addition,multiplication,subtraction"
23,928,L23_F928,6,1,implicit,addition
23,8901,L23_F8901,6,1,explicit,"addition,subtraction"
23,13548,L23_F13548,6,1,explicit,"addition,multiplication"
24,483,L24_F483,6,1,applied,"addition,subtraction"
24,6063,L24_F6063,6,1,explicit,"addition,multiplication"
24,6985,L24_F6985,6,1,applied,addition
24,8622,L24_F8622,6,1,explicit,addition
24,12104,L24_F12104,6,2,"applied,implicit","addition,multiplication"
25,5207,L25_F5207,6,1,implicit,addition
25,8087,L25_F8087,6,1,explicit,"addition,multiplication"
25,10488,L25_F10488,6,1,explicit,"addition,multiplication"
25,14578,L25_F14578,6,1,explicit,"addition,multiplication"
1,6917,L1_F6917,5,1,implicit,addition
9,8101,L9_F8101,5,1,explicit,"addition,multiplication,subtraction"
12,8395,L12_F8395,5,1,applied,addition
14,748,L14_F748,5,1,applied,"addition,multiplication"
14,11604,L14_F11604,5,1,applied,addition
15,9524,L15_F9524,5,1,explicit,addition
17,15942,L17_F15942,5,1,explicit,"addition,subtraction"
19,16308,L19_F16308,5,1,explicit,"addition,multiplication,subtraction"
21,2666,L21_F2666,5,1,applied,addition
21,2903,L21_F2903,5,2,"explicit,implicit","addition,multiplication"
21,5818,L21_F5818,5,1,applied,"addition,multiplication"
23,2107,L23_F2107,5,1,explicit,"addition,multiplication"
23,4314,L23_F4314,5,1,implicit,addition
24,11525,L24_F11525,5,1,implicit,addition
24,12405,L24_F12405,5,1,implicit,addition
24,12843,L24_F12843,5,1,applied,addition
1,7357,L1_F7357,4,1,applied,addition
1,10468,L1_F10468,4,1,implicit,addition
2,12358,L2_F12358,4,1,implicit,addition
4,4193,L4_F4193,4,2,"applied,implicit","addition,multiplication"
4,5450,L4_F5450,4,1,implicit,addition
4,6072,L4_F6072,4,1,applied,addition
5,239,L5_F239,4,2,"applied,implicit","addition,multiplication"
8,13491,L8_F13491,4,1,implicit,addition
10,7085,L10_F7085,4,2,"applied,implicit",addition
13,1412,L13_F1412,4,1,explicit,"addition,multiplication,subtraction"
15,10238,L15_F10238,4,1,applied,"addition,multiplication"
15,14223,L15_F14223,4,2,"applied,implicit","addition,multiplication"
17,7437,L17_F7437,4,1,applied,addition
17,10088,L17_F10088,4,1,explicit,addition
18,14749,L18_F14749,4,1,applied,addition
19,3722,L19_F3722,4,1,applied,addition
19,12505,L19_F12505,4,1,explicit,"addition,subtraction"
19,15020,L19_F15020,4,1,explicit,addition
20,15670,L20_F15670,4,1,implicit,addition
23,8600,L23_F8600,4,2,"applied,explicit","addition,multiplication"
23,13869,L23_F13869,4,2,"applied,implicit",addition
24,1764,L24_F1764,4,2,"applied,implicit","addition,multiplication,subtraction"
24,3775,L24_F3775,4,1,explicit,"addition,multiplication"
25,2949,L25_F2949,4,1,explicit,addition
25,8967,L25_F8967,4,1,implicit,addition
25,11195,L25_F11195,4,1,implicit,addition
25,12771,L25_F12771,4,1,explicit,"addition,multiplication,subtraction"
25,16308,L25_F16308,4,1,implicit,addition
0,6200,L0_F6200,3,1,explicit,"addition,subtraction"
0,7695,L0_F7695,3,1,implicit,addition
0,16200,L0_F16200,3,1,implicit,addition
2,2577,L2_F2577,3,1,implicit,addition
4,3316,L4_F3316,3,1,implicit,addition
5,4706,L5_F4706,3,1,applied,addition
9,3098,L9_F3098,3,1,implicit,addition
10,7755,L10_F7755,3,1,implicit,addition
13,14225,L13_F14225,3,1,implicit,addition
14,12135,L14_F12135,3,1,applied,addition
