source_prompt,target_prompt,total,feature_id,layer,feature,source_activation,target_activation,baseline_margin,zero_margin,transferred_margin,necessity_damage,transfer_gain,rescue_fraction,status
calc: 1+2=,calc: 2+1=,3,L1_F14137,1,14137,12.3203125,11.96875,3.5859375,3.59375,3.578125,-0.0078125,-0.015625,2.0,ok
calc: 1+2=,calc: 2+1=,3,L24_F13541,24,13541,83.4375,84.3125,3.5859375,3.7421875,3.5859375,-0.15625,-0.15625,1.0,ok
calc: 1+2=,calc: 2+1=,3,L25_F4717,25,4717,168.5,169.875,3.5859375,3.890625,3.5859375,-0.3046875,-0.3046875,1.0,ok
calc: 1+2=,calc: 2+1=,3,L25_F13822,25,13822,26.375,23.84375,3.5859375,3.5859375,3.59375,0.0,0.0078125,0.0,ok
calc: 1+2=,calc: 2+1=,3,L25_F14744,25,14744,54.8125,58.3125,3.5859375,3.625,3.578125,-0.0390625,-0.046875,1.2,ok
calc: 1+2=,calc: 2+1=,3,L25_F15920,25,15920,112.0625,111.75,3.5859375,3.671875,3.5859375,-0.0859375,-0.0859375,1.0,ok
calc: 2+3=,calc: 3+2=,5,L1_F14137,1,14137,12.34375,12.390625,3.1171875,3.140625,3.1171875,-0.0234375,-0.0234375,1.0,ok
calc: 2+3=,calc: 3+2=,5,L24_F13541,24,13541,91.5625,91.3125,3.1171875,3.2578125,3.1171875,-0.140625,-0.140625,1.0,ok
calc: 2+3=,calc: 3+2=,5,L25_F4717,25,4717,166.75,170.0,3.1171875,3.375,3.125,-0.2578125,-0.25,0.9696969696969697,ok
calc: 2+3=,calc: 3+2=,5,L25_F13822,25,13822,28.46875,25.046875,3.1171875,3.1015625,3.125,0.015625,0.0234375,1.5,ok
calc: 2+3=,calc: 3+2=,5,L25_F14744,25,14744,57.09375,61.53125,3.1171875,3.1953125,3.1328125,-0.078125,-0.0625,0.8,ok
calc: 2+3=,calc: 3+2=,5,L25_F15920,25,15920,113.6875,112.8125,3.1171875,3.2421875,3.125,-0.125,-0.1171875,0.9375,ok
calc: 3+4=,calc: 4+3=,7,L1_F14137,1,14137,12.7734375,12.375,3.0703125,3.0859375,3.0703125,-0.015625,-0.015625,1.0,ok
calc: 3+4=,calc: 4+3=,7,L24_F13541,24,13541,92.3125,88.6875,3.0703125,3.234375,3.0625,-0.1640625,-0.171875,1.0476190476190477,ok
calc: 3+4=,calc: 4+3=,7,L25_F4717,25,4717,163.75,164.875,3.0703125,3.3125,3.078125,-0.2421875,-0.234375,0.967741935483871,ok
calc: 3+4=,calc: 4+3=,7,L25_F13822,25,13822,28.375,29.28125,3.0703125,3.046875,3.0703125,0.0234375,0.0234375,1.0,ok
calc: 3+4=,calc: 4+3=,7,L25_F14744,25,14744,53.28125,54.375,3.0703125,3.109375,3.078125,-0.0390625,-0.03125,0.8,ok
calc: 3+4=,calc: 4+3=,7,L25_F15920,25,15920,112.0,110.0,3.0703125,3.140625,3.078125,-0.0703125,-0.0625,0.8888888888888888,ok
calc: 4+5=,calc: 5+4=,9,L1_F14137,1,14137,12.921875,13.0390625,4.2421875,4.2265625,4.2421875,0.015625,0.015625,1.0,ok
calc: 4+5=,calc: 5+4=,9,L24_F13541,24,13541,85.625,86.625,4.2421875,4.5703125,4.25,-0.328125,-0.3203125,0.9761904761904762,ok
calc: 4+5=,calc: 5+4=,9,L25_F4717,25,4717,168.125,169.5,4.2421875,4.59375,4.2421875,-0.3515625,-0.3515625,1.0,ok
calc: 4+5=,calc: 5+4=,9,L25_F13822,25,13822,28.296875,27.34375,4.2421875,4.21875,4.2421875,0.0234375,0.0234375,1.0,ok
calc: 4+5=,calc: 5+4=,9,L25_F14744,25,14744,55.21875,55.4375,4.2421875,4.3046875,4.25,-0.0625,-0.0546875,0.875,ok
calc: 4+5=,calc: 5+4=,9,L25_F15920,25,15920,109.25,109.3125,4.2421875,4.4765625,4.2421875,-0.234375,-0.234375,1.0,ok
